sample,v1_lineages,v2_lineages,v1_dominant,v2_dominant,dominant_match,v1_dominant_abundance,v2_dominant_abundance,jaccard_similarity
20250625.110392_S34,13,13,MC.19.1,MC.19.1,True,0.46262665,0.46257843,1.0
20250625.110571_S47,24,24,KP.3.3,KP.3.3,True,0.4546644,0.4546644,1.0
20250625.111886_S46,6,6,NY.19,NY.19,True,0.3209993,0.32128563,1.0
20250625.111981_S49,14,14,XFC.1.5,XFC.1.5,True,0.13932832,0.13932227,1.0
20250626.110389_S44,4,4,NY.19,NY.19,True,0.43632645,0.43628457,1.0
20250626.111157_S54,16,16,PY.1.1.1,PY.1.1.1,True,0.27625199,0.27623435,1.0
20250626.111190_S45,18,18,LP.8.1.1,LP.8.1.1,True,0.54548368,0.5455312,1.0
20250626.111323_S52,110,110,MC.28.1,MC.28.1,True,0.06501376,0.06501376,1.0
20250626.112186_S50,8,9,XFC.3,XFC.3,True,0.1728031,0.17278708,0.8888888888888888
20250626.112447_S53,15,15,NY.19,NY.19,True,0.1751239,0.1750812,1.0
20250629.104656_S74,3,3,LF.7.1.6,LF.7.1.6,True,0.48849359,0.48845819,1.0
20250629.111362_S76,2,2,XFG.2,XFG.2,True,0.49999999,0.49999999,1.0
20250629.111661_S63,10,10,XFG.3.4,XFG.3.4,True,0.3208735,0.32086529,1.0
20250629.112434_S65,9,9,XDV.1.5,XDV.1.5,True,0.31663986,0.31662652,1.0
20250629.112448_S62,12,12,NW.1.7,NW.1.7,True,0.37976301,0.37976633,1.0
20250629.112480_S59,7,7,MC.33.1.1,MC.33.1.1,True,0.48634673,0.48630463,1.0
20250629.112501_S60,13,13,XFG,XFG,True,0.38430651,0.38429004,1.0
20250630.109008_S79,7,7,XFG.3,XFG.3,True,0.29536177,0.29536177,1.0
20250630.109255_S69,4,4,NY.3,NY.3.3,False,0.24990453,0.24989331,1.0
20250630.109923_S70,7,7,XFG.4,XFG.4,True,0.24783182,0.24782538,1.0
20250630.110036_S64,2,2,PQ.2,PQ.2,True,0.72763028,0.72763349,1.0
20250630.110203_S82,8,8,XFG.2,XFG.2,True,0.72815499,0.72814984,1.0
20250630.110413_S57,10,10,LP.4,LP.4,True,0.09981963,0.09981963,1.0
20250630.110609_S77,16,16,XEH,XEH,True,0.87201482,0.87187486,1.0
20250630.110686_S78,43,43,JN.1.18.6,XEL,False,0.08179761,0.08179761,1.0
20250630.111188_S58,6,6,XFG.3.5,XFG.3.5,True,0.64575449,0.64575176,1.0
20250630.111432_S68,5,5,PQ.4,PQ.4,True,0.60384171,0.60384461,1.0
20250630.111678_S4,4,4,KP.3.6,KP.3.6,True,0.26164897,0.26163167,1.0
20250630.111769_S75,7,7,MC.33.1.1,MC.33.1.1,True,0.23542362,0.23542362,1.0
20250630.111773_S72,1,1,JN.1.16.5,JN.1.16.5,True,0.99904858,0.99904858,1.0
20250630.111788_S67,36,36,JN.5,XDT,False,0.02843158,0.02843158,1.0
20250630.111856_S92,1,1,XFW.1,XFW.1,True,0.9999911,0.9999911,1.0
20250630.112264_S71,2,2,XFG.4.1,XFG.4.1,True,0.753747,0.75374544,1.0
20250630.112302_S66,5,5,XFG,XFG,True,0.60082405,0.60079363,1.0
20250630.112347_S73,3,3,LF.7.6.4,LF.7.6.4,True,0.33281706,0.33281706,1.0
20250630.112742_S85,7,7,NW.1.7,NW.1.7,True,0.29897414,0.29897807,1.0
20250630.112796_S61,14,14,XFG.4,XFG.4,True,0.42211587,0.42210846,1.0
20250701.108259_S102,8,8,XFG.3.1.3,XFG.3.1.3,True,0.45527376,0.45526779,1.0
20250701.110397_S89,6,6,PQ.28,PQ.28,True,0.33989062,0.33989189,1.0
20250701.110426_S83,10,10,XEC.11.1,XEC.11.1,True,0.50210091,0.50209436,1.0
20250701.111478_S87,2,2,LF.7.12.1,LF.7.12.1,True,0.49908371,0.4990929,1.0
20250701.111526_S81,212,212,QB.1,LF.7.1.13,False,0.34347849,0.34347693,1.0
20250701.111592_S105,9,9,PQ.1,PQ.1,True,0.58558724,0.5855875,1.0
20250701.111784_S97,50,50,PP.1.1,NW.1.5,False,0.02035639,0.02035639,1.0
20250701.112188_S98,32,32,XFV.1,XFV.1,True,0.03124616,0.03124616,1.0
20250701.112231_S106,4,4,XFG,XFG,True,0.67093521,0.67091411,1.0
20250701.112244_S90,8,8,NF.1.3,NF.1.3,True,0.49914878,0.49910998,1.0
20250701.112411_S80,3,3,NY.19,NY.19,True,0.39661742,0.39679246,1.0
20250701.112412_S86,7,7,QA.3,QA.3,True,0.40639568,0.40639568,1.0
20250701.112450_S91,72,72,XFG.3.8.1,XFG.3.8.1,True,0.03598269,0.03598269,1.0
20250701.112723_S7,9,9,XFG.4.1,XFG.4.1,True,0.51942964,0.51942811,1.0
20250702.110363_S93,6,6,XFG.17,XFG,False,0.18920299,0.18919548,1.0
20250702.110381_S94,5,5,XFJ.4,XFJ.4,True,0.45281581,0.45279992,1.0
20250702.111163_S95,13,13,LP.8.1.1,LP.8.1.1,True,0.38144054,0.38156825,1.0
20250702.111630_S99,1,1,XFG.5.2,XFG.5.2,True,0.99997763,0.99997479,1.0
20250702.112288_S109,10,10,XFG,XFG,True,0.39169723,0.39170309,1.0
20250702.112294_S103,2,2,XFG.3.3,XFG.3.3,True,0.80215497,0.80214781,1.0
20250702.112297_S107,3,3,XFG.22,XFG.9,False,0.49063774,0.49063189,1.0
20250702.112423_S110,11,11,XFG.5.1,XFG.5.1,True,0.10040644,0.10040481,1.0
20250702.112427_S111,8,8,NY.13.3,NY.13.3,True,0.27283992,0.27282182,1.0
20250702.112774_S104,6,6,LP.8.1.2,LP.8.1.2,True,0.3312191,0.33121891,1.0
20250703.110394_S108,4,4,MJ.1.1,MJ.1.1,True,0.84867955,0.84867955,1.0
20250703.112499_S3,10,10,LF.7.1.9,LF.7.1.9,True,0.42772443,0.42772536,1.0
20250706.107704_S5,9,9,LP.8.1.2,LP.8.1.2,True,0.39201855,0.3919756,1.0
20250706.109699_S18,4,4,XFG.4.1,XFG.4.1,True,0.73969859,0.73971285,1.0
20250706.110708_S29,56,56,XFQ,XFQ,True,0.01783984,0.01783984,1.0
20250706.111901_S2,10,10,XFG.1,XFG.1,True,0.48768859,0.48766071,1.0
20250706.112431_S6,13,13,XFC,XFC,True,0.17687772,0.17687925,1.0
20250707.109939_S15,16,16,XFG.12,XFG.12,True,0.23345982,0.23345653,1.0
20250707.110068_S12,56,56,XFG.3.8.1,XFG.3.8.1,True,0.0178186,0.0178186,1.0
20250707.110362_S1,3,3,NY.16,NY.16,True,0.36609665,0.36609777,1.0
20250707.110557_S14,3,3,NW.1.1.1,NW.1.1.1,True,0.65228488,0.65222961,1.0
20250707.110586_S9,3,3,MC.19.1,MC.19.1,True,0.4374408,0.43744806,1.0
20250707.111182_S4,17,17,LP.8.1.2,LP.8.1.2,True,0.39887443,0.39887674,1.0
20250707.111647_S11,14,14,NY.11,LP.8.1.2,False,0.21202522,0.21206614,1.0
20250707.111693_S6,5,5,XFV,XFV,True,0.4804451,0.480487,1.0
20250707.111754_S20,6,6,NW.1.7,NW.1.7,True,0.281358,0.2813624,1.0
20250707.111799_S16,4,4,XFG.12,XFG.12,True,0.56466243,0.56459781,1.0
20250707.111813_S10,5,5,XFG.3.1,XFG.3.1.4,False,0.24956499,0.24953068,1.0
20250707.112097_S13,1,1,XFG.3.4,XFG.3.4,True,0.99837818,0.998463,1.0
20250707.112332_S17,2,2,XFQ,XFQ,True,0.73177236,0.73176367,1.0
20250707.112754_S37,12,12,LP.8.1.4,LP.8.1.4,True,0.33955142,0.33954644,1.0
20250707.112762_S38,4,4,XFS,XFS,True,0.47654412,0.47651575,1.0
20250707.112779_S19,7,7,XFG.25,XFG.25,True,0.14267617,0.14267513,1.0
20250708.110833_S33,3,3,B.1.1.273,B.1.1.273,True,0.00179211,0.00179211,1.0
20250708.111138_S26,13,13,XFG.29,XFG.29,True,0.27169034,0.27168893,1.0
20250708.111166_S25,4,4,XFG.3,XFG.3,True,0.66446384,0.66446582,1.0
20250708.111486_S36,11,11,QF.1,QF.1,True,0.0908697,0.09086745,1.0
20250708.111551_S44,3,3,MD.1.1.1,MD.1.1.1,True,0.33326287,0.33326287,1.0
20250708.111589_S30,6,6,XFG.3.3,XFG.3.3,True,0.4293906,0.42937439,1.0
20250708.111658_S35,9,9,XFG.4,XFG.4,True,0.30171472,0.3017176,1.0
20250708.111782_S34,89,89,NY.3.1.1,NY.3.1.1,True,0.01128133,0.01128133,1.0
20250708.112229_S22,18,18,XFG.3.4.3,XFG.3.4.3,True,0.26271198,0.26271198,1.0
20250708.112230_S23,4,4,XEC.2.2.1,XEC.2.2.1,True,0.69828053,0.69828704,1.0
20250708.112253_S31,8,8,XFC,XFC,True,0.45461313,0.45460474,1.0
20250708.112638_S43,7,7,XFG.2,XFG.2,True,0.35616384,0.35616226,1.0
20250708.112644_S21,3,3,XFG.12,XFG.29,False,0.33312445,0.33311889,1.0
20250709.104603_S58,15,15,NY.19,NY.19,True,0.30680186,0.30683904,1.0
20250709.107773_S55,6,6,XFG.3,XFG.3,True,0.41292443,0.41292384,1.0
20250709.110405_S42,3,4,KP.1.2,KP.1.2,True,0.86823785,0.8682974,0.75
20250709.111152_S27,1,1,XFG.2,XFG.2,True,0.99934679,0.99934649,1.0
20250709.111617_S52,9,9,XFG.2,XFG.2,True,0.94458336,0.94457328,1.0
20250709.112202_S39,8,8,XFG.3.4.3,XFG.3.4.3,True,0.94414898,0.94414721,1.0
20250709.112428_S51,3,3,LP.8.1.2,LP.8.1.2,True,0.49211722,0.49210836,1.0
20250709.112525_S47,4,4,XFG.4.1,XFG.4.1,True,0.50551,0.50551006,1.0
20250709.112529_S50,4,4,XFG.7,XFG.7,True,0.54489655,0.54486094,1.0
20250709.112663_S40,6,6,XFG.3,XFG.3,True,0.72573162,0.72572107,1.0
20250709.113047_S41,8,8,XFG.4,XFG.4,True,0.56469508,0.56469597,1.0
20250710.110221_S49,7,7,LP.8.1.2,LP.8.1.2,True,0.30768612,0.30764687,1.0
20250710.110256_S57,4,4,XFG.4,XFG.4,True,0.56381899,0.56381759,1.0
20250710.110365_S45,6,6,LP.8.1.2,LP.8.1.2,True,0.46868691,0.46873436,1.0
20250710.111193_S46,10,10,PQ.8.1,PQ.8.1,True,0.51497167,0.51494626,1.0
20250710.111333_S59,4,4,XFG.2.3.1,XFG.2.3.1,True,0.24997302,0.24997302,1.0
20250710.112337_S53,36,36,XET,XET,True,0.02766184,0.02766184,1.0
20250710.112500_S54,7,7,XFG.10.1,XFG.12,False,0.16622749,0.16620917,1.0
20250713.109688_S24,2,2,XFG.5.1,XFG.5.1,True,0.88789433,0.88788384,1.0
20250713.110082_S14,34,34,PQ.9.1.1,PQ.9.1.1,True,0.03015162,0.03015162,1.0
20250713.111359_S13,5,5,XFG.2,XFG.2,True,0.60235421,0.60235237,1.0
20250713.111650_S15,7,7,PQ.2.4,PQ.2.4,True,0.29230875,0.29232913,1.0
20250713.112424_S2,5,5,NW.1.7,NW.1.7,True,0.25067611,0.25067719,1.0
20250714.109230_S16,4,4,NY.3.4,NY.3.4,True,0.57907402,0.57905389,1.0
20250714.109860_S8,11,11,XFG.3.4.3,XFG.3.4.3,True,0.221178,0.22117819,1.0
20250714.109997_S17,15,15,XFG.3,XFG.3,True,0.32592181,0.32591645,1.0
20250714.110390_S1,12,12,XFG.2,XFG.2,True,0.42752317,0.4275231,1.0
20250714.110692_S7,7,7,XFG.2,XFG.2,True,0.25095053,0.25097049,1.0
20250714.111677_S3,6,6,XFG.12,XFG.12,True,0.36193145,0.36191173,1.0
20250714.111682_S35,16,16,XFT,XFT,True,0.43457297,0.43456939,1.0
20250714.111781_S18,1,1,XEH,XEH,True,0.9987922,0.99852715,1.0
20250714.111791_S23,3,3,NY.13.3,NY.13.2,False,0.33318226,0.33319634,1.0
20250714.111796_S11,10,10,XFG.4,XFG.4,True,0.57456952,0.57457023,1.0
20250714.112190_S9,51,51,BF.24,BF.24,True,0.01956963,0.01956963,1.0
20250714.112467_S12,3,3,PQ.13.1,PQ.17,False,0.33273829,0.33275483,1.0
20250714.112757_S42,6,6,XFG.4,XFG.4,True,0.45726698,0.45726624,1.0
20250714.112772_S29,8,8,PQ.17,PQ.17,True,0.315472,0.3154723,1.0
20250715.110351_S5,11,11,LZ.4,LZ.4,True,0.54126597,0.54126531,1.0
20250715.111160_S10,6,6,XFG,XFG,True,0.31590589,0.31590843,1.0
20250715.111549_S26,5,5,NY.3.1,NY.3.5,False,0.19979337,0.19978855,1.0
20250715.111797_S22,14,14,NY.7,LP.8.1.6,False,0.35152855,0.35127558,1.0
20250715.112058_S34,7,7,LF.7.9,LF.7.9,True,0.40965766,0.409656,1.0
20250715.112139_S19,3,3,XFG.2,XFG.2,True,0.50252926,0.50252913,1.0
20250715.112140_S20,92,92,PY.1.6,PY.1.6,True,0.520418,0.520418,1.0
20250715.112172_S25,14,14,XFG.5.1,XFG.5.1,True,0.07496316,0.07494672,1.0
20250715.112340_S44,56,56,XFS,XFS,True,0.24846906,0.24846906,1.0
20250715.112747_S48,7,7,PF.1,PF.1,True,0.22998447,0.2299863,1.0
20250715.112936_S31,6,6,XFG,XFG,True,0.44143188,0.44142687,1.0
20250715.113044_S38,4,4,XFG.22,XFG.22,True,0.24958626,0.24958205,1.0
20250715.113089_S32,4,4,XFG.3.7,XFG.3.7,True,0.907926,0.90792429,1.0
20250716.110368_S41,12,12,XFG,XFG,True,0.40486086,0.40486169,1.0
20250716.111615_S36,7,7,PQ.16,PQ.16,True,0.40480589,0.40473267,1.0
20250716.112044_S33,8,8,XFG.16,XFG,False,0.4324156,0.43242476,1.0
20250716.112046_S28,12,12,NW.1,NW.1,True,0.16379907,0.1638042,1.0
20250716.112110_S43,6,6,XFG.5,XFG.9,False,0.24444847,0.24444861,1.0
20250716.112115_S39,6,6,KP.3.6,KP.3.6,True,0.66698291,0.66698569,1.0
20250716.112162_S30,4,4,XFG.5.1,XFG.5.1,True,0.335397,0.33539591,1.0
20250716.112232_S40,13,13,XFG.2,XFG.2,True,0.41550325,0.415478,1.0
20250716.112295_S56,6,6,XFG.29,XFG.29,True,0.16647108,0.16647005,1.0
20250716.112364_S55,9,9,XFG.3.4,XFG.3.4,True,0.87254606,0.87254622,1.0
20250716.112432_S54,9,9,XFG.3,XFG.3,True,0.63583549,0.63582509,1.0
20250716.112478_S50,14,14,XFG.10.1,XFG.10.1,True,0.45773143,0.4577312,1.0
20250716.112510_S53,3,3,LP.8.1.2,LP.8.1.2,True,0.51321079,0.51320859,1.0
20250716.112518_S57,9,9,XFG.3.4,XFG.3.4,True,0.24571888,0.24571911,1.0
20250716.112759_S47,4,4,XFY,XFY,True,0.57190358,0.57192025,1.0
20250716.112782_S58,12,12,XFG.29,XFG.29,True,0.38740052,0.38740517,1.0
20250716.113018_S37,1,1,LP.8.1.1,LP.8.1.1,True,0.998174,0.99818202,1.0
20250716.BL2_S56,1,1,XBB.1.35,XBB.1.35,True,0.00153139,0.00153139,1.0
20250716.TW_S32,2,2,B.20,B.20,True,0.4989918,0.49900881,1.0
20250717.109580_S49,16,16,PQ.1,PQ.1,True,0.31003443,0.3100383,1.0
20250717.112048_S52,25,25,XFG.1,XFG.1,True,0.15237776,0.15237765,1.0
20250717.112472_S46,9,9,XFG.9,XFG.9,True,0.29933813,0.29936008,1.0
20250717.112798_S51,6,6,XFG.2,XFG.2,True,0.27293147,0.27292993,1.0
20250720.109697_S13,2,2,XFG.3.11,XFG.3.11,True,0.97685885,0.97684762,1.0
20250720.111625_S9,8,8,XFG.4,XFG.4,True,0.36407222,0.36407553,1.0
20250720.112455_S6,5,5,XFG,XFG,True,0.60367036,0.60368482,1.0
20250721.110088_S10,4,4,XFG.12,XFG.5,False,0.24962793,0.24962929,1.0
20250721.110583_S7,26,26,XFG.14.2,XFG.14.2,True,0.37127003,0.37127112,1.0
20250721.110621_S21,7,7,XDV,XDV,True,0.70362726,0.70365146,1.0
20250721.110678_S14,5,5,XFG.2,XFG.2,True,0.87064181,0.87064143,1.0
20250721.111543_S3,3,3,NW.1.2,NW.1.2,True,0.99191258,0.99193011,1.0
20250721.111639_S11,1,1,XFG.2,XFG.2,True,0.998599,0.99858724,1.0
20250721.111776_S26,2,2,BA.3,BA.3,True,0.95280854,0.95280854,1.0
20250721.111793_S15,7,7,XFG.4,XFG.4,True,0.25399761,0.25395866,1.0
20250721.112113_S5,9,9,NY.7.1,NY.7.1,True,0.557876,0.55787592,1.0
20250721.112326_S2,2,2,MG.1,MG.1,True,0.4983565,0.49831907,1.0
20250721.112338_S4,4,4,PY.1,PY.1,True,0.54715636,0.54715246,1.0
20250721.112657_S8,15,15,XFG.3,XFG.3,True,0.26562571,0.26560983,1.0
20250721.112716_S17,9,9,XFG.22,XFG.22,True,0.30663546,0.30663828,1.0
20250721.113028_S1,6,6,XFY,XFY,True,0.55082402,0.55082299,1.0
20250721.113053_S51,3,3,PQ.31,PQ.31,True,0.88208444,0.88208891,1.0
20250722.110501_S20,8,8,XFG,XFG,True,0.28297478,0.28300229,1.0
20250722.110511_S39,6,7,XFJ,XFJ.3,False,0.3448051,0.34482517,0.8571428571428571
20250722.111219_S12,7,7,XFG.3.5,XFG.3.5,True,0.76006894,0.76005993,1.0
20250722.111777_S22,1,1,XFW,XFW,True,0.99891809,0.99891809,1.0
20250722.112119_S27,2,2,XFG.3.3,XFG.3.3,True,0.83168243,0.83167988,1.0
20250722.112136_S23,6,6,XFG.5.2,XFG.5.2,True,0.16635695,0.16635682,1.0
20250722.112228_S18,12,12,XFG.5,XFG.5,True,0.38001778,0.38001622,1.0
20250722.112242_S40,1,1,XDE,XDE,True,0.99802748,0.99802748,1.0
20250722.112372_S24,11,11,XDV.1.5.1,XDV.1.5.1,True,0.09047012,0.09047012,1.0
20250722.112636_S25,5,5,NY.16.1,NY.16.1,True,0.58435976,0.5843555,1.0
20250722.113032_S19,8,8,XFG.9,XFG.9,True,0.58290618,0.58292435,1.0
20250723.101589_S46,10,10,XFG.3.4,XFG.3.4,True,0.32933197,0.32934032,1.0
20250723.111629_S49,14,14,XFG.5.1,XFG.5.1,True,0.07122848,0.07124267,1.0
20250723.112073_S48,3,3,XDV.1.5.1,XDV.1.5.1,True,0.49814086,0.49814086,1.0
20250723.112239_S47,13,13,XFG.3.10,XFG.3.5,False,0.07681635,0.07681593,1.0
20250723.112296_S3,4,4,XFG.31,XFG.30,False,0.31678117,0.31678072,1.0
20250723.112369_S35,9,9,XFG.3.4,XFG.3.4,True,0.30239228,0.30240019,1.0
20250723.112419_S34,18,18,XFG.3,XFG.3,True,0.29318477,0.29318385,1.0
20250723.112430_S37,10,10,NY.3.3,NY.3.3,True,0.51767045,0.51766987,1.0
20250723.112713_S36,6,6,XFG,XFG,True,0.46698182,0.46697854,1.0
20250723.112751_S32,3,3,XFG.3.16,XFG.3.16,True,0.95369759,0.9536958,1.0
20250723.112783_S33,5,5,XFG.16,XFG.16,True,0.45804908,0.45804849,1.0
20250723.112799_S31,6,6,XFG.3,XFG.3,True,0.61742564,0.61742702,1.0
20250723.TW_S59,3,3,B.20,B.20,True,0.33201504,0.33201912,1.0
20250724.109578_S38,12,12,XFG.22,XFG.22,True,0.20786658,0.20786124,1.0
20250724.110993_S28,13,13,XFG.3,XFG.3,True,0.37276861,0.37276706,1.0
20250724.111224_S29,6,6,XFG,XFG,True,0.39784212,0.39774269,1.0
20250724.112003_S52,2,2,NY.13,NY.13,True,0.97286738,0.97290494,1.0
20250724.112334_S44,1,1,XFG.3.11,XFG.3.11,True,0.99889868,0.99889641,1.0
20250724.112457_S45,4,4,XFG.28,XFG.28,True,0.55410888,0.55410416,1.0
20250724.112505_S30,8,8,XFG.3,XFG.3,True,0.57714659,0.57714082,1.0
20250724.112714_S50,6,6,XFG.8,XFG.8,True,0.299021,0.29902079,1.0
20250725.110989_S43,6,6,XFG.4.1,XFG.4.1,True,0.509495,0.5094946,1.0
20250725.111216_S41,10,10,XFG,XFG,True,0.13450723,0.13445574,1.0
20250725.111234_S42,6,6,XFG.3.1.3,XFG.3.1.3,True,0.394127,0.394127,1.0
20250727.109654_S6,6,6,LP.8.1.2,LP.8.1.2,True,0.4078629,0.40786135,1.0
20250727.110078_S7,6,6,GS.7.1,GS.7.1,True,0.31053288,0.31053288,1.0
20250727.110597_S13,16,16,XFV.1,XFV.1,True,0.06642771,0.06642551,1.0
20250727.111660_S8,12,12,XFG.5,XFG.5,True,0.26529145,0.26529306,1.0
20250727.112791_S2,12,12,XFG.3,XFG.3,True,0.43136533,0.4313551,1.0
20250728.110040_S11,9,9,XFG.21,XFG.21,True,0.16013137,0.16013012,1.0
20250728.110517_S23,8,8,XFG.3,XFG.3,True,0.43946438,0.43946406,1.0
20250728.110628_S10,4,4,XFG.2,XFG.2,True,0.8685492,0.86856109,1.0
20250728.111493_S22,52,52,HK.8.1,HK.8.1,True,0.26347292,0.26347292,1.0
20250728.111670_S20,8,8,XFG.5,XFG.5,True,0.46374779,0.46374746,1.0
20250728.111694_S4,6,6,XEF.3,XEF.3,True,0.25822456,0.25824232,1.0
20250728.111760_S17,3,3,LP.8.1,LP.8.1,True,0.50453417,0.50452769,1.0
20250728.111766_S5,396,396,LP.10.1.1,JN.1,False,0.00252159,0.00252159,1.0
20250728.111767_S33,14,14,XFG.2.2,XFG.2.3,False,0.14777867,0.1477782,1.0
20250728.111794_S18,9,9,XFG.3,XFG.3,True,0.59492129,0.59492439,1.0
20250728.112039_S1,4,4,XFG.2,XFG.2,True,0.9823031,0.98229755,1.0
20250728.112175_S15,11,11,JN.1.40,JN.1.40,True,0.25696737,0.25694026,1.0
20250728.112176_S12,6,6,XFG,XFG,True,0.45594511,0.45595683,1.0
20250728.113031_S29,8,8,XFG,XFG,True,0.51670741,0.51668238,1.0
20250728.113062_S21,14,14,NY.17,NY.17,True,0.27736906,0.27737561,1.0
20250729.110952_S31,1,1,XFG.9,XFG.9,True,0.99822022,0.99822647,1.0
20250729.110996_S19,14,14,XFG.3.9,XFG.3.9,True,0.262821,0.2628211,1.0
20250729.111203_S9,8,8,NY.15.1,NY.15.1,True,0.45097602,0.45098087,1.0
20250729.111215_S14,6,6,XFG.3.4,XFG.3.4,True,0.47448101,0.4744817,1.0
20250729.111538_S40,2,2,NY.13.2.1,NY.13.2.1,True,0.517859,0.51785685,1.0
20250729.111787_S30,2,2,XFG.4.1,XFG.4.1,True,0.578284,0.57828392,1.0
20250729.112114_S39,4,4,XFG.9,XFG.9,True,0.39067583,0.3906173,1.0
20250729.112138_S27,3,3,XDY.3,XDY.3,True,0.49647487,0.49647487,1.0
20250729.112193_S44,123,123,BA.2.78,XE,False,0.00814875,0.00814875,1.0
20250729.112207_S24,3,3,XFG.3.4.3,XFG.3.4.3,True,0.989011,0.98901132,1.0
20250729.112245_S48,8,8,MT.1.1,MT.1.1,True,0.33023463,0.33023463,1.0
20250729.113085_S28,4,4,XFQ,XFQ,True,0.76881048,0.7688768,1.0
20250729.113087_S25,3,3,XFG.2,XFG.2,True,0.48267613,0.4826829,1.0
20250729.113159_S26,5,5,QA.3,QA.3,True,0.53453747,0.53431055,1.0
20250730.110991_S35,9,9,XFG.9,XFG.9,True,0.60106761,0.60105665,1.0
20250730.110995_S34,7,7,XFG.4,XFG.4,True,0.31044,0.31043951,1.0
20250730.111202_S32,5,5,XFG.9,XFG.4,False,0.32242834,0.32242358,1.0
20250730.112289_S52,5,5,XFG,XFG,True,0.457703,0.45769802,1.0
20250730.112503_S46,14,14,XFG.2,XFG.2,True,0.23362238,0.23362219,1.0
20250730.112515_S43,8,8,XFT.1,XFT.1,True,0.29982339,0.29983157,1.0
20250730.112526_S47,3,3,XFG.3.13,XFG.3.13,True,0.36815476,0.36815178,1.0
20250730.112531_S36,15,15,XFG.12,XFG.12,True,0.254959,0.25495865,1.0
20250730.112548_S38,7,7,XFG.3.1.4,XFG.3.1.2,False,0.16956789,0.16956736,1.0
20250730.112770_S55,9,9,LF.7.9.1,LF.7.9.1,True,0.31469625,0.31469447,1.0
20250730.112792_S42,10,10,XFG,XFG.16,False,0.29418023,0.29417663,1.0
20250730.113199_S50,6,6,XFG.2,XFG.2,True,0.45771319,0.45770223,1.0
20250730.113396_S49,10,10,XFG.3.9,XFG.3.9,True,0.31880357,0.31879225,1.0
20250730.BL1_S16,2,2,XFY,XFY,True,0.68815527,0.68815527,1.0
20250730.BL2_S54,74,74,EG.4.1,XDG,False,0.01357972,0.01357972,1.0
20250730.TW_S53,5,5,B.20,B,False,0.47616073,0.47612278,1.0
20250731.107298_S53,33,33,MC.19.1.1,MC.19.1.1,True,0.88307267,0.8837762,1.0
20250731.109572_S41,4,4,XFG.4.1,XFG.4.1,True,0.93572387,0.93572335,1.0
20250731.110985_S45,17,17,XFG.5,XFG.5,True,0.39755916,0.39754604,1.0
20250731.112520_S37,9,9,XFG,XFG,True,0.40640937,0.40641908,1.0
20250731.112718_S51,5,5,XFG.9,XFG.9,True,0.50825086,0.50824919,1.0
20250731.112733_S54,8,8,XFG.3.5,XFG.3.5,True,0.29507295,0.29505782,1.0
20250803.109687_S15,8,8,XFG.4,XFG.4,True,0.360887,0.36088681,1.0
20250803.112374_S17,8,8,KE.1,KE.1,True,0.12485112,0.12485112,1.0
20250803.112530_S3,13,13,XFG.3.16,XFG.3.16,True,0.42163125,0.42161199,1.0
20250803.112776_S14,7,7,XFG,XFG,True,0.38116631,0.38119968,1.0
20250804.109117_S18,2,2,XFG.2,XFG.2,True,0.995354,0.99535196,1.0
20250804.110589_S25,2,2,XFG.17.1,XFG.17.1,True,0.969374,0.96936794,1.0
20250804.110627_S13,2,2,XFG.2,XFG.2,True,0.59991753,0.59991755,1.0
20250804.110999_S1,7,7,XFG.3.4.1,XFG.3.4.1,True,0.63233792,0.63232236,1.0
20250804.111201_S6,21,21,NT.1,NT.1,True,0.56623591,0.56603886,1.0
20250804.111243_S2,7,7,XFG.3.5,XFG.3.5,True,0.35899159,0.35895178,1.0
20250804.111256_S7,8,8,XFG.12,XFG.12,True,0.47169277,0.4711799,1.0
20250804.111298_S4,1,1,XFG.2,XFG.2,True,0.99833904,0.99834499,1.0
20250804.111542_S16,1,1,XFG.1,XFG.1,True,0.99886269,0.998855,1.0
20250804.111716_S23,10,10,XFG.3.5,XFG.3.5,True,0.21418133,0.21417433,1.0
20250804.111717_S20,9,9,LP.8.1.2,LP.8.1.2,True,0.25759081,0.25757962,1.0
20250804.111798_S10,13,13,XFG.4,XFG.4,True,0.192636,0.19263491,1.0
20250804.112094_S8,5,5,XFG.5,XFG.5,True,0.49134704,0.49133315,1.0
20250804.112318_S35,9,9,XFG.2,XFG.2,True,0.34992903,0.34992618,1.0
20250804.112331_S11,4,4,XFG.4,XFG.9,False,0.34665699,0.34665576,1.0
20250804.112451_S19,10,10,XFG.17.1,XFG.17.1,True,0.4877923,0.48762842,1.0
20250804.112494_S26,29,29,XFG.3.16,XFG.3.16,True,0.03446772,0.03445687,1.0
20250804.112516_S9,12,12,XFG.9,XFG.9,True,0.63691733,0.63693271,1.0
20250804.113061_S5,7,7,LF.7.4,LF.7.4,True,0.61164596,0.61140416,1.0
20250804.113092_S21,5,5,XFG,XFG,True,0.58254896,0.58255162,1.0
20250804.113151_S12,2,2,XFG.2,XFG.2,True,0.76474499,0.76474419,1.0
