sample,v1_lineages,v2_lineages,v1_dominant,v2_dominant,dominant_match,v1_dominant_abundance,v2_dominant_abundance,jaccard_similarity
20250819.113095_S55,2,2,XFG.3.16,XFG.3.16,True,0.85914751,0.85909828,1.0
20250819.113188_S21,18,18,XFG.32,XFG.32,True,0.49452925,0.49452928,1.0
20250820.101582_S52,11,11,XFG.3,XFG.3,True,0.52198276,0.52194272,1.0
20250820.107375_S37,7,7,JN.1.36,JN.1.36,True,0.55147085,0.55147085,1.0
20250820.111212_S34,49,49,XFY,XFY,True,0.02071024,0.02071024,1.0
20250820.111318_S33,4,4,XFG.3.5,XFG.3.5,True,0.33261106,0.33260934,1.0
20250820.112156_S39,7,7,XFG.14.1,XFG.14.1,True,0.579987,0.57998684,1.0
20250820.113143_S38,9,9,XFG.3.1,XFG.3.1,True,0.27849522,0.27849096,1.0
20250820.113628_S53,2,2,XFG.5,XFG.5,True,0.70587389,0.70583149,1.0
20250820.113643_S49,5,5,XFG.3,XFG.3,True,0.35064092,0.35064061,1.0
20250820.113652_S46,6,6,XFG,XFG,True,0.61609346,0.61609795,1.0
20250820.113668_S50,8,8,XFG.3,XFG.3,True,0.41730187,0.41730035,1.0
20250820.113672_S47,2,2,XFR,XFR,True,0.99545275,0.99545275,1.0
20250821.109439_S54,4,4,XFG.3.11,XFG.3.11,True,0.79824853,0.79827346,1.0
20250821.112544_S51,4,4,XFG.17,XFG.17,True,0.32721877,0.32723309,1.0
20250821.113249_S48,8,8,XFG.3.16,XFG.3.16,True,0.31077065,0.31076785,1.0
20250821.113317_S58,4,4,XFG,XFG,True,0.3585525,0.35854901,1.0
20250821.113358_S57,6,6,XFG.2,XFG.2,True,0.45155641,0.45154876,1.0
20250824.112038_S73,6,6,XFG.2,XFG.2,True,0.62872999,0.62872292,1.0
20250824.112305_S72,16,16,XFG.2,XFG.2,True,0.31436,0.31435981,1.0
20250824.113615_S61,3,3,XFG.3,XFG.3,True,0.5008473,0.50083923,1.0
20250824.113676_S65,9,9,XFG.4,XFG.4,True,0.37749765,0.37749434,1.0
20250824.113696_S62,11,11,XFG.5,XFG.5,True,0.325328,0.3253277,1.0
20250824.113697_S63,10,10,LF.7.9.1,LF.7.9.1,True,0.70470508,0.70469956,1.0
20250824.113852_S67,8,8,XFG.3,XFG.3,True,0.25103678,0.25103498,1.0
